#MeshBlock 0 on rank=0 with cost=1
#  Logical level 3, location = (0 0 0)
#  Logical level 3, location = (3 7 0)
-2.5 7.5
0 7.5
0 10
-2.5 10
-2.5 7.5


#MeshBlock 100 on rank=0 with cost=1
#  Logical level 3, location = (6 4 0)
5 0
7.5 0
7.5 2.5
5 2.5
5 0


#MeshBlock 101 on rank=0 with cost=1
#  Logical level 3, location = (7 4 0)
7.5 0
10 0
10 2.5
7.5 2.5
7.5 0


#MeshBlock 102 on rank=0 with cost=1
#  Logical level 3, location = (6 5 0)
5 2.5
7.5 2.5
7.5 5
5 5
5 2.5


#MeshBlock 103 on rank=0 with cost=1
#  Logical level 3, location = (7 5 0)
7.5 2.5
10 2.5
10 5
7.5 5
7.5 2.5


#MeshBlock 104 on rank=0 with cost=1
#  Logical level 3, location = (4 6 0)
0 5
2.5 5
2.5 7.5
0 7.5
0 5


#MeshBlock 105 on rank=0 with cost=1
#  Logical level 3, location = (5 6 0)
2.5 5
5 5
5 7.5
2.5 7.5
2.5 5


#MeshBlock 106 on rank=0 with cost=1
#  Logical level 3, location = (4 7 0)
0 7.5
2.5 7.5
2.5 10
0 10
0 7.5


#MeshBlock 107 on rank=0 with cost=1
#  Logical level 3, location = (5 7 0)
2.5 7.5
5 7.5
5 10
2.5 10
2.5 7.5


#MeshBlock 108 on rank=0 with cost=1
#  Logical level 3, location = (6 6 0)
5 5
7.5 5
7.5 7.5
5 7.5
5 5


#MeshBlock 109 on rank=0 with cost=1
#  Logical level 3, location = (7 6 0)
7.5 5
10 5
10 7.5
7.5 7.5
7.5 5


#MeshBlock 110 on rank=0 with cost=1
#  Logical level 3, location = (6 7 0)
5 7.5
7.5 7.5
7.5 10
5 10
5 7.5


#MeshBlock 111 on rank=0 with cost=1
#  Logical level 3, location = (7 7 0)
7.5 7.5
10 7.5
10 10
7.5 10
7.5 7.5


#MeshBlock 12 on rank=0 with cost=1
#  Logical level 4, location = (4 4 0)
-5 -5
-3.75 -5
-3.75 -3.75
-5 -3.75
-5 -5


#MeshBlock 13 on rank=0 with cost=1
#  Logical level 4, location = (5 4 0)
-3.75 -5
-2.5 -5
-2.5 -3.75
-3.75 -3.75
-3.75 -5


#MeshBlock 14 on rank=0 with cost=1
#  Logical level 4, location = (4 5 0)
-5 -3.75
-3.75 -3.75
-3.75 -2.5
-5 -2.5
-5 -3.75


#MeshBlock 15 on rank=0 with cost=1
#  Logical level 4, location = (5 5 0)
-3.75 -3.75
-2.5 -3.75
-2.5 -2.5
-3.75 -2.5
-3.75 -3.75


#MeshBlock 16 on rank=0 with cost=1
#  Logical level 4, location = (6 4 0)
-2.5 -5
-1.25 -5
