0.000000000000000e+00 6.553701061147487e-04 6.553701061147487e-04 1.000000000000000e+00 4.999998926225098e-01 3.276850296000416e-04 -0.000000000000000e+00       -4.999998926225098e-01 -3.276850296000416e-04 0.000000000000000e+00 -3.276850296000416e-04 4.999998926225098e-01 -0.000000000000000e+00 3.276850296000416e-04 -4.999998926225098e-01       0.000000000000000e+00
6.397111412024631e-02 6.505072721251434e-02 6.505072721251434e-02 1.000000000000000e+00 4.989424737199587e-01 3.250242942009571e-02 -0.000000000000000e+00       -4.989424737199587e-01 -3.250242942009571e-02 0.000000000000000e+00 -3.250242942009571e-02 4.989424737199587e-01 -0.000000000000000e+00 3.250242942009571e-02 -4.989424737199587e-01       0.000000000000000e+00
1.264764770661401e-01 1.277325312785992e-01 1.277325312785992e-01 1.000000000000000e+00 4.959266429061581e-01 6.369273785784303e-02 -0.000000000000000e+00       -4.959266429061581e-01 -6.369273785784303e-02 0.000000000000000e+00 -6.369273785784303e-02 4.959266429061581e-01 -0.000000000000000e+00 6.369273785784303e-02 -4.959266429061581e-01       0.000000000000000e+00
1.898504913358807e-01 1.912081282061890e-01 1.912081282061890e-01 1.000000000000000e+00 4.908876763805213e-01 9.502257193810619e-02 -0.000000000000000e+00       -4.908876763805213e-01 -9.502257193810619e-02 0.000000000000000e+00 -9.502257193810619e-02 4.908876763805213e-01 -0.000000000000000e+00 9.502257193810619e-02 -4.908876763805213e-01       0.000000000000000e+00
2.537247606991717e-01 2.552775343843386e-01 2.552775343843386e-01 1.000000000000000e+00 4.837966258239962e-01 1.262569793766515e-01 -0.000000000000000e+00       -4.837966258239962e-01 -1.262569793766515e-01 0.000000000000000e+00 -1.262569793766515e-01 4.837966258239962e-01 -0.000000000000000e+00 1.262569793766515e-01 -4.837966258239962e-01       0.000000000000000e+00
3.148858608959267e-01 3.165457326004315e-01 3.165457326004315e-01 1.000000000000000e+00 4.751581749107304e-01 1.556428887405518e-01 -0.000000000000000e+00       -4.751581749107304e-01 -1.556428887405518e-01 0.000000000000000e+00 -1.556428887405518e-01 4.751581749107304e-01 -0.000000000000000e+00 1.556428887405518e-01 -4.751581749107304e-01       0.000000000000000e+00
3.773012252990140e-01 3.784732912081685e-01 3.784732912081685e-01 1.000000000000000e+00 4.646149203071197e-01 1.847511186109811e-01 -0.000000000000000e+00       -4.646149203071197e-01 -1.847511186109811e-01 0.000000000000000e+00 -1.847511186109811e-01 4.646149203071197e-01 -0.000000000000000e+00 1.847511186109811e-01 -4.646149203071197e-01       0.000000000000000e+00
4.407826741260783e-01 4.419831174216511e-01 4.419831174216511e-01 1.000000000000000e+00 4.519525983586410e-01 2.138664275590559e-01 -0.000000000000000e+00       -4.519525983586410e-01 -2.138664275590559e-01 0.000000000000000e+00 -2.138664275590559e-01 4.519525983586410e-01 -0.000000000000000e+00 2.138664275590559e-01 -4.519525983586410e-01       0.000000000000000e+00
5.031462776723221e-01 5.040574628704155e-01 5.040574628704155e-01 1.000000000000000e+00 4.378150460463412e-01 2.414911705537909e-01 -0.000000000000000e+00       -4.378150460463412e-01 -2.414911705537909e-01 0.000000000000000e+00 -2.414911705537909e-01 4.378150460463412e-01 -0.000000000000000e+00 2.414911705537909e-01 -4.378150460463412e-01       0.000000000000000e+00
5.664978633638896e-01 5.674150111019695e-01 5.674150111019695e-01 1.000000000000000e+00 4.216465518017917e-01 2.687269717643894e-01 -0.000000000000000e+00       -4.216465518017917e-01 -2.687269717643894e-01 0.000000000000000e+00 -2.687269717643894e-01 4.216465518017917e-01 -0.000000000000000e+00 2.687269717643894e-01 -4.216465518017917e-01       0.000000000000000e+00
